id,stockid_i,date1,time1,lnA_B,close_1,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
186,GBPAUDpro,2016.02.13,01:15,2.03908,2.03908,,,,100,0.0005,0.9,0,0,0,0
187,GBPAUDpro,2016.02.13,01:20,2.03842,2.03842,,,,100,0.0005,0.9,0,0,0,0
188,GBPAUDpro,2016.02.13,01:25,2.03849,2.03849,,,,100,0.0005,0.9,0,0,0,0
189,GBPAUDpro,2016.02.13,01:30,2.03674,2.03674,,,,100,0.0005,0.9,0,0,0,0
190,GBPAUDpro,2016.02.13,01:35,2.03638,2.03638,,,,100,0.0005,0.9,0,0,0,0
191,GBPAUDpro,2016.02.13,01:40,2.03699,2.03699,,,,100,0.0005,0.9,0,0,0,0
192,GBPAUDpro,2016.02.13,01:45,2.0372,2.0372,,,,100,0.0005,0.9,0,0,0,0
193,GBPAUDpro,2016.02.13,01:50,2.03653,2.03653,,,,100,0.0005,0.9,0,0,0,0
194,GBPAUDpro,2016.02.13,01:55,2.038,2.038,,,,100,0.0005,0.9,0,0,0,0
195,GBPAUDpro,2016.02.13,02:00,2.03829,2.03829,,,,100,0.0005,0.9,0,0,0,0
196,GBPAUDpro,2016.02.13,02:05,2.03858,2.03858,,,,100,0.0005,0.9,0,0,0,0
197,GBPAUDpro,2016.02.13,02:10,2.03878,2.03878,,,,100,0.0005,0.9,0,0,0,0
198,GBPAUDpro,2016.02.13,02:15,2.0405,2.0405,,,,100,0.0005,0.9,0,0,0,0
199,GBPAUDpro,2016.02.13,02:20,2.04142,2.04142,,,,100,0.0005,0.9,0,0,0,0
200,GBPAUDpro,2016.02.13,02:25,2.04204,2.04204,,,,100,0.0005,0.9,0,0,0,0
201,GBPAUDpro,2016.02.13,02:30,2.04168,2.04168,,,,100,0.0005,0.9,0,0,0,0
202,GBPAUDpro,2016.02.13,02:35,2.04203,2.04203,,,,100,0.0005,0.9,0,0,0,0
203,GBPAUDpro,2016.02.13,02:40,2.04261,2.04261,,,,100,0.0005,0.9,0,0,0,0
204,GBPAUDpro,2016.02.13,02:45,2.04283,2.04283,,,,100,0.0005,0.9,0,0,0,0
205,GBPAUDpro,2016.02.13,02:50,2.04201,2.04201,,,,100,0.0005,0.9,0,0,0,0
206,GBPAUDpro,2016.02.13,02:55,2.04291,2.04291,,,,100,0.0005,0.9,0,0,0,0
207,GBPAUDpro,2016.02.13,03:00,2.04319,2.04319,,,,100,0.0005,0.9,0,0,0,0
208,GBPAUDpro,2016.02.13,03:05,2.04267,2.04267,,,,100,0.0005,0.9,0,0,0,0
209,GBPAUDpro,2016.02.13,03:10,2.04297,2.04297,,,,100,0.0005,0.9,0,0,0,0
210,GBPAUDpro,2016.02.13,03:15,2.0434,2.0434,,,,100,0.0005,0.9,0,0,0,0
211,GBPAUDpro,2016.02.13,03:20,2.04381,2.04381,,,,100,0.0005,0.9,0,0,0,0
212,GBPAUDpro,2016.02.13,03:25,2.04405,2.04405,,,,100,0.0005,0.9,0,0,0,0
213,GBPAUDpro,2016.02.13,03:30,2.0432,2.0432,,,,100,0.0005,0.9,0,0,0,0
214,GBPAUDpro,2016.02.13,03:35,2.04261,2.04261,,,,100,0.0005,0.9,0,0,0,0
215,GBPAUDpro,2016.02.13,03:40,2.04337,2.04337,,,,100,0.0005,0.9,0,0,0,0
216,GBPAUDpro,2016.02.13,03:45,2.04274,2.04274,,,,100,0.0005,0.9,0,0,0,0
217,GBPAUDpro,2016.02.13,03:50,2.04315,2.04315,,,,100,0.0005,0.9,0,0,0,0
218,GBPAUDpro,2016.02.13,03:55,2.044,2.044,,,,100,0.0005,0.9,0,0,0,0
219,GBPAUDpro,2016.02.13,04:00,2.04257,2.04257,,,,100,0.0005,0.9,0,0,0,0
220,GBPAUDpro,2016.02.13,04:05,2.04185,2.04185,,,,100,0.0005,0.9,0,0,0,0
221,GBPAUDpro,2016.02.13,04:10,2.04252,2.04252,,,,100,0.0005,0.9,0,0,0,0
222,GBPAUDpro,2016.02.13,04:15,2.04178,2.04178,,,,100,0.0005,0.9,0,0,0,0
223,GBPAUDpro,2016.02.13,04:20,2.04191,2.04191,,,,100,0.0005,0.9,0,0,0,0
224,GBPAUDpro,2016.02.13,04:25,2.04233,2.04233,,,,100,0.0005,0.9,0,0,0,0
225,GBPAUDpro,2016.02.13,04:30,2.04338,2.04338,,,,100,0.0005,0.9,0,0,0,0
226,GBPAUDpro,2016.02.13,04:35,2.04302,2.04302,,,,100,0.0005,0.9,0,0,0,0
